Data_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF
12/01/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;BA
16/07/2022;Reclamação;Atendimento;Atendimento inadequado;Em Andamento;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;DF
02/05/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MG
09/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;SERCOMTEL S.A.;Pequeno;-;PA
12/04/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
29/10/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;SERCOMTEL S.A.;Pequeno;Sercomtel;MA
15/03/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;OI S.A.;Grande;Oi;RN
17/08/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;CLARO S.A.;Grande;Claro;RS
05/05/2023;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
05/06/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
17/11/2022;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;Tim Celular;Grande;TIM Group;PE
04/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;SP
02/08/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;RR
11/02/2023;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR
28/05/2023;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;CLARO S.A.;Grande;Claro;PA
23/08/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;MG
03/09/2023;Reclamação;Cobrança;N/A;Respondida;SCM;CLARO S.A.;Grande;Claro;AM
02/02/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;MG
29/12/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;ES
27/03/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
12/09/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;AC
16/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
20/06/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;OI S.A.;Grande;Oi;MG
28/02/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;OI S.A.;Grande;Oi;BA
02/01/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;PR
17/03/2023;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;PB
21/08/2023;Reclamação;NÃO INFORMADO;Cobrança indevida;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
09/07/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S/A;Grande;Claro;MG
13/10/2022;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;OI S.A.;Grande;Oi;RJ
15/08/2023;Reclamação;Instalação;Prazo de instalação excedido;Em Andamento;SCM;CLARO S.A.;Grande;Claro;AM
14/05/2023;Reclamação;Cobrança;-;Respondida;SCM;TIM CELULAR;Grande;TIM Group;PE
05/07/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PA
21/02/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;Claro S.A.;Grande;Claro;SP
08/07/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
02/03/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
09/04/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;N/A;Vivo;SC
27/02/2023;Reclamação;Atendimento;-;Em Andamento;SCM;CLARO S/A;Grande;Claro;SP
20/08/2022;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RS
17/04/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
21/03/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;SP
07/01/2022;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;TIM CELULAR;Grande;TIM Group;PR
04/06/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;RS
29/09/2022;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;OI S.A.;Grande;Oi;BA
31/12/2023;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
17/10/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;Oi S.A.;Grande; ;MA
27/05/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;PE
05/10/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;CE
29/07/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;CLARO S.A.;Grande;Claro;MG
09/02/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;OI S.A.;N/A;Oi;RJ
28/06/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;GO
10/08/2022;Reclamação; ;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR
28/02/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;RO
20/05/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG
04/05/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;OI S.A.;Grande;Oi;RJ
04/05/2022;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;OI S.A.;Grande;Oi;BA
03/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PA
20/04/2023;Reclamação;Outros;Outros;Respondida;SCM;CLARO S.A.;Grande;Claro;PR
03/12/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MG
01/10/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
23/12/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;Claro S.A.;Grande;Claro;MS
14/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
07/05/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;BA
04/10/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande; ;AL
10/02/2023;Reclamação;Outros;Outros;Respondida;SCM;OI S.A.;Grande;Oi;SP
31/12/2023;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;OI S.A.;Grande;Oi;PI
18/03/2022;Reclamação;Instalação;Prazo de instalação excedido;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS
11/10/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
10/09/2023;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;OI S.A.;Grande;Oi;MS
16/06/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
22/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;RJ
17/09/2022;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TIM CELULAR;Grande;TIM Group;SP
25/05/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RJ
07/07/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
03/10/2023;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
14/02/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;CLARO S.A.;Grande;Claro;MA
30/01/2022;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
02/08/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;BA
17/04/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;Sercomtel S.A.;Pequeno;Sercomtel;PA
14/10/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;DF
23/10/2023;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;AM
15/07/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
19/08/2022;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;PR
12/10/2023;Reclamação;Velocidade;NÃO INFORMADO;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
04/05/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
09/02/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG
02/04/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG
08/07/2022;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;TIM CELULAR;Grande;TIM Group;RN
01/10/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MS
08/02/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;PA
12/03/2023;Reclamação;Contrato;Cancelamento não realizado;Não Respondida;SCM;OI S.A.;Grande;Oi;PB
22/03/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;TIM CELULAR;Grande;TIM Group;SP
07/01/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
27/09/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;RN
08/10/2023;Reclamação;Instalação;Prazo de instalação excedido;Em Andamento;SCM;CLARO S.A.;Grande;Claro;TO
07/03/2022;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;OI S.A.;Grande;Oi;SP
08/04/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;RJ
10/03/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
03/11/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;PA
30/04/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;PI
06/11/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;MG
16/09/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;PR
24/01/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;CLARO S/A;Grande;Claro;PA
20/04/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;PB
06/09/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS
08/08/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;CLARO S.A.;Grande;Claro;SC
10/01/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;AM
22/03/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;BA
23/08/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PE
11/07/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;PA
30/06/2023;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;OI S.A.;Grande;Oi;SP
05/11/2023;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;EMBRATEL S.A.;Grande;Claro;MG
08/08/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;MG
13/02/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PA
01/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TIM CELULAR;Grande;-;RN
26/04/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;OI S.A.;N/A;Oi;SC
30/05/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;Claro S.A.;Grande;Claro;RS
14/03/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MS
12/02/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
12/11/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;CLARO S.A.;Grande;Claro;CE
15/03/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;CLARO S.A.;Grande;Claro;AM
28/10/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
27/10/2022;Reclamação;Contrato;Cancelamento não realizado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;DF
03/01/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
22/03/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;AM
11/06/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;CE
18/04/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;PA
10/06/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
20/09/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
20/06/2023;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;OI S.A.;Grande;Oi;SP
20/09/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS
12/01/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;SP
28/05/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
12/01/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;BA
01/10/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RO
30/03/2023;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;TIM CELULAR;Grande;TIM Group;SC
06/01/2023;Reclamação; ;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;Oi;CE
04/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MA
16/05/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;CLARO S.A.;Grande;Claro;PE
10/02/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;PB
19/06/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;Oi;AL
02/07/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;CE
27/10/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
12/06/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MS
09/12/2022;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;NÃO INFORMADO;MG
09/11/2022;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;Claro S.A.;Grande;Claro;PA
09/05/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;MG
25/11/2023;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ
15/02/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RN
29/04/2022;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;CLARO S.A.;Grande;Claro;MA
04/07/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;PE
17/09/2023;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
11/10/2022;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;TIM CELULAR;Grande;N/A;BA
16/12/2023;Reclamação;Atendimento;Atendimento inadequado;Em Andamento;SCM;TIM CELULAR;Grande;TIM Group;RJ
02/04/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;SP
11/11/2022;Reclamação;Atendimento;Atendimento inadequado;Em Andamento;SCM;Embratel S.A.;Grande;Claro;MG
24/02/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;BA
07/11/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;CE
07/04/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;GO
11/04/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SC
25/11/2023;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;CLARO S.A.;Grande;Claro;SP
28/06/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR
19/08/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;OI S.A.;Grande;Oi;GO
02/12/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;MG
23/05/2022;Reclamação; ;Cancelamento não realizado;Em Andamento;SCM;CLARO S.A.;Grande;Claro;RN
22/03/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;CE
17/09/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
29/05/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;PE
08/05/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;PE
17/04/2023;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;CLARO S.A.;Grande;Claro;BA
13/04/2022;Reclamação;Contrato;Cancelamento não realizado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
05/11/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
28/08/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;OI S.A.;Grande;Oi;PE
21/01/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR
10/03/2023;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG
16/02/2022;Reclamação; ;Prazo de instalação excedido;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;AC
06/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SE
09/07/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;Tim Celular;Grande;TIM Group;BA
22/04/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
28/05/2022;Reclamação;Outros;N/A;Não Respondida;SCM;CLARO S.A.;Grande;Claro;MG
17/11/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;PR
11/07/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;RJ
09/03/2023;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;TIM CELULAR;Grande;TIM Group;RJ
21/11/2022;Reclamação;Velocidade;NÃO INFORMADO;Respondida;SCM;OI S.A.;Grande;Oi;SC
28/04/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;-;Claro;SP
