ano_mes,marca,servico,solicitacoes
2016-03,VIVO,SCM,15478
2015-06,NEXTEL,SMP_Pós,15454
2019-02,TIM,SMP_Pré,15442
2019-06,VIVO,SMP_Pós,15437
2015-12,OI,SMP_Pós,15416
2017-03,OI,SMP_Pós,15373
2019-06,VIVO,STFC,15371
2015-11,OI,SMP_Pós,15350
2015-09,VIVO,SCM,15234
2018-12,TIM,SMP_Pré,15227
2017-07,NET,SeAC,15209
2015-10,VIVO,SCM,15187
2017-07,SKY,SeAC,15180
2019-01,NET,SeAC,15167
2016-07,OI,SMP_Pós,15115
2018-12,VIVO,SMP_Pós,15052
2017-01,VIVO,SCM,15047
2016-03,NET,SeAC,15038
2018-06,TIM,SMP_Pré,15020
2017-08,OI,SMP_Pós,14972
2018-09,TIM,SMP_Pré,14924
2019-10,VIVO,SCM,14881
2018-04,OI,SCM,14872
2015-10,OI,SMP_Pós,14855
2020-04,VIVO,SCM,14845
2019-03,TIM,SMP_Pré,14762
2017-08,SKY,SeAC,14759
2016-02,VIVO,SCM,14759
2017-12,OI,SCM,14750
2015-01,VIVO,STFC,14744
2020-03,VIVO,STFC,14724
2020-01,VIVO,SCM,14698
2020-02,CLARO,SCM,14695
2016-06,SKY,SeAC,14690
2017-06,NET,SeAC,14646
2018-09,VIVO,SMP_Pós,14633
2016-01,VIVO,SCM,14595
2015-07,NET,STFC,14592
2017-03,VIVO,SCM,14591
2018-02,OI,SCM,14543
2015-08,VIVO,SCM,14523
2015-02,TIM,SMP_Pós,14489
2015-05,NEXTEL,SMP_Pós,14449
2018-01,SKY,SeAC,14422
2015-05,VIVO,SCM,14418
2015-02,TIM,SMP_Pré,14326
2016-07,NEXTEL,SMP_Pós,14323
2015-06,VIVO,SCM,14296
2015-04,OI,SMP_Pós,14289
2015-03,OI,SMP_Pós,14269
2019-12,VIVO,STFC,14262
2019-01,VIVO,SCM,14260
2015-11,VIVO,SCM,14253
2015-06,NET,STFC,14218
2015-08,NEXTEL,SMP_Pós,14209
2018-05,OI,SCM,14159
2020-04,CLARO,SeAC,14136
2015-12,VIVO,SCM,14120
2016-08,NEXTEL,SMP_Pós,14040
2016-09,OI,SMP_Pós,14015
2016-08,SKY,SeAC,14001
2019-09,TIM,SMP_Pré,13966
2020-05,CLARO,SeAC,13937
2017-03,NET,SeAC,13934
2019-12,CLARO,SCM,13931
2016-04,VIVO,SCM,13922
2017-08,VIVO,SCM,13899
2017-12,SKY,SeAC,13875
2017-01,OI,SMP_Pós,13862
2019-07,VIVO,SCM,13839
2019-02,NET,SeAC,13837
2017-11,SKY,SeAC,13750
2017-05,OI,SMP_Pós,13707
2016-10,OI,SMP_Pós,13688
2016-11,VIVO,SCM,13667
2015-08,VIVO,SMP_Pré,13638
2015-09,NEXTEL,SMP_Pós,13637
2018-03,VIVO,SCM,13593
2016-07,SKY,SeAC,13589
2016-02,OI,SMP_Pós,13585
2016-08,VIVO,SCM,13567
2019-06,TIM,SMP_Pré,13557
2019-01,OI,SCM,13551
2016-01,NET,SeAC,13533
2019-11,VIVO,STFC,13514
2020-02,VIVO,STFC,13503
2019-03,NET,SeAC,13484
2019-05,VIVO,SCM,13468
2019-11,VIVO,SCM,13465
2015-01,SKY,SeAC,13463
2016-11,OI,SMP_Pós,13461
2017-10,NET,SeAC,13459
2019-08,VIVO,SCM,13453
2018-08,OI,SCM,13443
2019-09,VIVO,SCM,13423
2019-12,TIM,SMP_Pré,13423
2019-05,OI,SCM,13416
2015-05,NET,STFC,13392
2017-01,NET,SeAC,13391
2017-04,SKY,SeAC,13366
2016-02,NET,SeAC,13348
2019-04,VIVO,SCM,13339
2017-05,VIVO,SCM,13264
2017-10,OI,SMP_Pós,13261
2015-09,CLARO,SMP_Pré,13254
2015-10,CLARO,SMP_Pré,13248
2016-07,VIVO,SCM,13247
2020-01,OI,SMP_Pós,13192
2016-08,NET,SeAC,13179
2016-12,VIVO,SCM,13152
2015-01,CLARO,SMP_Pós,13130
2015-10,NEXTEL,SMP_Pós,13107
2018-07,OI,SCM,13045
2016-12,OI,SMP_Pós,12995
2016-03,NEXTEL,SMP_Pós,12986
2017-09,OI,SMP_Pós,12938
2019-12,VIVO,SCM,12929
2015-09,VIVO,SMP_Pré,12884
2016-06,VIVO,SCM,12876
2018-06,OI,SCM,12851
2015-12,CLARO,SMP_Pré,12826
2015-08,NET,STFC,12813
2015-02,VIVO,SCM,12808
2017-01,SKY,SeAC,12792
2020-04,OI,SCM,12766
2017-04,NET,SeAC,12761
2015-07,VIVO,SMP_Pré,12756
2018-01,NET,SeAC,12733
2019-04,OI,SCM,12726
2019-05,OI,SMP_Pós,12687
2019-07,OI,SMP_Pós,12667
2017-09,NET,SeAC,12614
2015-09,NET,STFC,12567
2019-03,VIVO,SCM,12514
2016-05,VIVO,SCM,12488
2017-11,NET,SeAC,12477
2016-03,VIVO,SMP_Pré,12467
2016-06,NET,SeAC,12463
2019-07,OI,SCM,12438
2017-07,VIVO,SCM,12433
2017-02,VIVO,SCM,12426
2015-01,TIM,SMP_Pós,12400
2018-08,NET,SeAC,12398
2016-10,VIVO,SCM,12389
2019-08,OI,SMP_Pós,12382
2015-10,NET,STFC,12376
2016-09,VIVO,SCM,12374
2020-02,VIVO,SCM,12366
2018-10,NET,SeAC,12358
2020-05,OI,SCM,12348
2019-10,OI,SMP_Pós,12347
2019-03,OI,SCM,12329
2019-10,TIM,SMP_Pré,12325
2015-05,CLARO,SMP_Pré,12284
2018-04,VIVO,SCM,12284
2018-07,NET,SeAC,12280
2016-07,NET,SeAC,12238
2019-01,NET,SCM,12221
2015-04,CLARO,SMP_Pré,12218
2018-01,VIVO,SCM,12190
2015-11,CLARO,SMP_Pré,12189
2018-10,OI,SCM,12188
2018-03,NET,SeAC,12184
2019-02,VIVO,SCM,12180
2016-04,NET,SeAC,12161
2017-02,SKY,SeAC,12144
2016-11,NET,SeAC,12127
2016-11,SKY,SeAC,12116
2015-03,CLARO,SMP_Pré,12097
2018-05,VIVO,SCM,12095
2019-11,TIM,SMP_Pré,12088
2018-10,VIVO,SCM,12077
2016-06,NEXTEL,SMP_Pós,12074
2017-06,VIVO,SCM,12059
2016-05,NET,SeAC,12051
2018-05,NET,SeAC,12051
2016-12,VIVO,SMP_Pré,12046
2020-03,OI,SCM,12016
2020-05,VIVO,STFC,12010
2016-03,CLARO,SMP_Pré,11980
2020-01,OI,SCM,11975
2018-03,SKY,SeAC,11968
2015-06,CLARO,SMP_Pré,11957
2018-05,SKY,SeAC,11955
2019-02,OI,SCM,11947
2016-12,NET,SeAC,11947
2015-07,NET,SeAC,11903
2019-02,NET,SCM,11883
2017-07,OI,SMP_Pós,11860
2016-01,NET,STFC,11853
2015-09,NET,SeAC,11842
2018-09,NET,SeAC,11823
2017-11,OI,SMP_Pós,11822
2017-10,SKY,SeAC,11768
2017-09,SKY,SeAC,11750
2016-10,SKY,SeAC,11746
2019-04,NET,SeAC,11744
2017-10,VIVO,SCM,11737
2019-12,OI,SMP_Pós,11730
2016-09,SKY,SeAC,11709
2017-01,VIVO,SMP_Pré,11656
2019-01,OI,SMP_Pós,11655
2018-08,OI,SMP_Pós,11636
2018-01,OI,SMP_Pós,11635
2015-01,TIM,SMP_Pré,11632
2020-03,CLARO,SeAC,11606
2016-08,VIVO,SMP_Pré,11586
2016-10,NET,SeAC,11569
2019-03,NET,SCM,11564
2016-12,SKY,SeAC,11551
2017-09,VIVO,SCM,11548
2019-10,OI,SCM,11543
2017-02,OI,SMP_Pós,11528
2019-08,OI,SCM,11519
2018-04,SKY,SeAC,11511
2016-09,NET,SeAC,11490
2018-06,NET,SeAC,11489
2019-05,NET,SeAC,11482
2016-04,VIVO,SMP_Pré,11478
2019-04,OI,SMP_Pós,11478
2019-06,VIVO,SCM,11460
2018-04,NET,SeAC,11456
2015-11,NEXTEL,SMP_Pós,11452
2015-12,NET,SeAC,11440
2016-05,VIVO,SMP_Pré,11437
2017-06,OI,SMP_Pós,11436
2020-04,VIVO,STFC,11416
2020-05,OI,SMP_Pós,11373
2017-12,NET,SeAC,11372
2017-04,OI,SMP_Pós,11358
2018-11,NET,SeAC,11349
2016-11,VIVO,SMP_Pré,11337
2016-01,VIVO,SMP_Pré,11296
2015-05,NET,SeAC,11296
2019-10,SKY,SeAC,11293
2015-08,NET,SeAC,11291
2017-04,VIVO,SCM,11283
2019-09,OI,SMP_Pós,11272
2020-01,CLARO,SeAC,11256
2019-07,SKY,SeAC,11255
2018-11,OI,SCM,11234
2015-10,NET,SeAC,11227
2016-06,CLARO,SMP_Pré,11200
2015-11,NET,STFC,11177
2018-07,VIVO,SCM,11152
2017-11,VIVO,SCM,11137
2015-06,NET,SeAC,11133
2016-02,VIVO,SMP_Pré,11131
2018-10,OI,SMP_Pós,11127
2019-11,OI,SCM,11125
2015-12,VIVO,SMP_Pré,11107
2015-11,NET,SeAC,11107
2018-08,VIVO,SCM,11099
2019-07,NET,SeAC,11086
2017-02,NET,SeAC,11068
2015-03,VIVO,SMP_Pré,11050
2015-06,VIVO,SMP_Pré,11045
2018-07,SKY,SeAC,11017
2016-05,NEXTEL,SMP_Pós,10999
2018-09,VIVO,SCM,10996
2019-10,NET,SCM,10994
2017-01,NEXTEL,SMP_Pós,10985
2019-03,OI,SMP_Pós,10952
2019-12,OI,SCM,10914
2018-02,NET,SeAC,10897
2019-06,OI,SCM,10890
2016-01,CLARO,SMP_Pré,10889
2015-10,VIVO,SMP_Pré,10881
2019-11,OI,SMP_Pós,10880
2018-12,NET,SeAC,10855
2018-07,OI,SMP_Pós,10847
2015-04,NEXTEL,SMP_Pós,10833
2020-03,OI,SMP_Pós,10833
2016-02,NET,STFC,10824
2018-02,VIVO,SCM,10808
2019-09,OI,SCM,10801
2016-09,VIVO,SMP_Pré,10799
2019-07,NET,SCM,10785
2015-04,NET,STFC,10771
2018-11,VIVO,SCM,10771
2015-03,NET,SeAC,10759
2019-09,SKY,SeAC,10758
2018-05,OI,SMP_Pós,10689
2016-04,NEXTEL,SMP_Pós,10684
2020-04,OI,SMP_Pós,10676
2016-06,VIVO,SMP_Pré,10676
2019-05,NET,SCM,10662
2016-03,NET,STFC,10651
2017-05,NEXTEL,SMP_Pós,10618
2019-09,NET,SCM,10611
2019-02,OI,SMP_Pós,10609
2018-09,OI,SCM,10595
2019-06,OI,SMP_Pós,10592
2017-08,NET,STFC,10590
2018-10,SKY,SeAC,10583
2018-06,VIVO,SCM,10577
2018-12,OI,SCM,10559
2018-08,SKY,SeAC,10553
2016-10,VIVO,SMP_Pré,10544
2018-04,OI,SMP_Pós,10535
2015-12,NET,STFC,10533
2019-03,TIM,SCM,10532
2016-07,VIVO,SMP_Pré,10531
2019-04,NET,SCM,10520
2019-05,SKY,SeAC,10493
2018-03,OI,SMP_Pós,10490
2019-08,NET,SeAC,10484
2015-04,NET,SeAC,10482
2019-08,NET,SCM,10468
2018-06,SKY,SeAC,10462
2019-08,SKY,SeAC,10440
2019-10,NET,SeAC,10394
2018-12,VIVO,SCM,10385
2020-02,OI,SMP_Pós,10360
2015-11,VIVO,SMP_Pré,10340
2017-12,VIVO,SCM,10333
2019-09,NET,SeAC,10319
2019-12,CLARO,SeAC,10315
2017-08,NEXTEL,SMP_Pós,10312
2016-09,NEXTEL,SMP_Pós,10279
2020-02,OI,SCM,10264
2015-01,VIVO,SCM,10260
