uf,marca,solicitacoes
  ,TIM,8629
MA,NET,8571
SE,NET,8344
RR,OI,8096
RN,VIVO,7969
MS,SKY,7745
RO,CLARO,7451
ES,Outros,7303
AL,NET,7216
RN,NET,7072
PR,SERCOMTEL,6729
TO,CLARO,6493
PA,Outros,6344
RO,VIVO,5892
  ,CLARO,5860
MA,Outros,5795
AC,OI,5760
AP,OI,5659
AL,SKY,5442
PI,SKY,5355
PR,NEXTEL,4591
RN,Outros,4513
  ,NET,4439
PI,NET,4427
MG,NEXTEL,4265
MT,Outros,4155
PB,Outros,3853
TO,VIVO,3825
AC,VIVO,3784
MS,Outros,3728
SE,Outros,3725
AP,VIVO,3566
  ,SKY,2898
RO,TIM,2877
TO,TIM,2837
AM,Outros,2790
AC,CLARO,2765
PI,Outros,2603
AP,TIM,2588
SP,HUGHES,2342
AL,Outros,2174
RO,SKY,2152
TO,SKY,2140
RR,VIVO,2134
MG,HUGHES,2103
DF,NEXTEL,2069
SC,NEXTEL,2015
RS,NEXTEL,2001
RO,NET,1853
BA,NEXTEL,1746
AP,Outros,1560
TO,NET,1507
GO,ALGAR,1507
RR,TIM,1478
RO,Outros,1436
AC,TIM,1385
PB,Brisanet,1334
GO,NEXTEL,1279
AP,CLARO,1257
SC,ALGAR,1205
AP,SKY,1190
  ,NEXTEL,1143
AC,NET,1138
CE,Brisanet,1087
TO,Outros,1052
RN,CABO TELECOM,991
SP,Correios Celular,837
AC,SKY,792
PE,NEXTEL,724
PR,HUGHES,624
RS,ALGAR,621
CE,NEXTEL,596
ES,NEXTEL,563
RR,CLARO,551
RR,SKY,535
MG,Correios Celular,456
BA,HUGHES,451
AC,Outros,446
RR,Outros,434
GO,HUGHES,434
MS,ALGAR,412
RJ,HUGHES,408
RN,Brisanet,390
RJ,ALGAR,362
RS,HUGHES,362
PR,Correios Celular,358
RJ,Correios Celular,336
AP,NET,324
SC,HUGHES,304
PA,HUGHES,256
AM,NEXTEL,226
MS,HUGHES,217
MA,HUGHES,183
PE,HUGHES,163
PA,NEXTEL,153
CE,ALGAR,152
SC,Correios Celular,148
AM,HUGHES,147
PR,ALGAR,142
  ,ALGAR,138
ES,HUGHES,134
DF,ALGAR,131
BA,Correios Celular,129
MT,HUGHES,127
ES,ALGAR,127
BA,ALGAR,123
PB,NEXTEL,119
PI,HUGHES,101
AL,NEXTEL,96
PB,HUGHES,95
DF,HUGHES,94
MS,NEXTEL,93
AP,NEXTEL,91
PB,CABO TELECOM,91
CE,HUGHES,90
RR,NET,85
PE,Brisanet,85
RS,Correios Celular,81
MT,NEXTEL,78
DF,Correios Celular,76
GO,Correios Celular,68
RN,HUGHES,65
SE,NEXTEL,65
RN,NEXTEL,63
TO,HUGHES,55
MA,NEXTEL,54
RN,Correios Celular,51
PE,Correios Celular,48
RO,HUGHES,48
RN,ALGAR,46
AL,ALGAR,46
PB,ALGAR,46
SP,SERCOMTEL,41
SE,HUGHES,41
AL,HUGHES,40
SE,ALGAR,39
PI,NEXTEL,39
PE,ALGAR,39
CE,Correios Celular,37
SP,Datora,37
PA,Correios Celular,34
AC,NEXTEL,34
RJ,NOSSA TV - BRASIL,33
AM,ALGAR,33
RJ,SERCOMTEL,28
AP,HUGHES,27
SP,NOSSA TV - BRASIL,25
RO,NEXTEL,23
AP,ALGAR,23
AM,SERCOMTEL,23
PB,Correios Celular,22
TO,NEXTEL,22
,CLARO,22
  ,HUGHES,21
ES,Correios Celular,20
SP,EMBRATEL,20
AL,Correios Celular,17
MT,ALGAR,16
MG,NOSSA TV - BRASIL,15
AP,SERCOMTEL,14
,VIVO,14
MG,SERCOMTEL,14
SE,SERCOMTEL,13
PI,Correios Celular,13
BA,NOSSA TV - BRASIL,12
  ,Correios Celular,12
  ,SERCOMTEL,11
AC,ALGAR,11
SP,CABO TELECOM,10
SC,SERCOMTEL,10
,OI,9
RR,NEXTEL,9
RS,SERCOMTEL,9
MT,Correios Celular,8
MA,Correios Celular,8
,Outros,8
PE,NOSSA TV - BRASIL,7
DF,SERCOMTEL,7
,TIM,7
MG,EMBRATEL,7
MA,ALGAR,7
SP,Brisanet,6
TO,Correios Celular,6
RJ,CABO TELECOM,6
GO,Datora,6
RO,ALGAR,6
BA,SERCOMTEL,5
TO,ALGAR,5
PR,CABO TELECOM,5
PR,Datora,5
PA,ALGAR,5
MS,Correios Celular,5
GO,EMBRATEL,5
GO,NOSSA TV - BRASIL,5
MS,CABO TELECOM,5
SE,Correios Celular,4
AL,SERCOMTEL,4
CE,SERCOMTEL,4
PE,SERCOMTEL,4
GO,CABO TELECOM,4
GO,SERCOMTEL,4
RJ,Datora,4
RS,Datora,4
PR,Brisanet,3
AP,Correios Celular,3
MG,Brisanet,3
ES,NOSSA TV - BRASIL,3
AM,Correios Celular,3
MG,Datora,3
  ,Brisanet,3
DF,Brisanet,3
RS,CABO TELECOM,3
PE,CABO TELECOM,3
CE,Datora,3
PI,Brisanet,3
PI,SERCOMTEL,2
RO,Correios Celular,2
PB,SERCOMTEL,2
MT,SERCOMTEL,2
  ,CABO TELECOM,2
RJ,EMBRATEL,2
PI,NOSSA TV - BRASIL,2
PE,Datora,2
,SKY,2
PI,ALGAR,2
  ,NOSSA TV - BRASIL,2
MG,CABO TELECOM,2
BA,EMBRATEL,2
CE,EMBRATEL,2
RS,Brisanet,2
BA,CABO TELECOM,2
SC,NOSSA TV - BRASIL,2
RR,ALGAR,2
RS,,2
RS,NOSSA TV - BRASIL,2
SC,CABO TELECOM,1
,CABO TELECOM,1
DF,EMBRATEL,1
SC,EMBRATEL,1
PA,SERCOMTEL,1
TO,SERCOMTEL,1
DF,Datora,1
BA,Datora,1
PB,NOSSA TV - BRASIL,1
PR,Intelig,1
PR,NOSSA TV - BRASIL,1
AC,Correios Celular,1
GO,Brisanet,1
PA,NOSSA TV - BRASIL,1
AC,HUGHES,1
MS,SERCOMTEL,1
RN,SERCOMTEL,1
SE,EMBRATEL,1
AM,NOSSA TV - BRASIL,1
RR,Correios Celular,1
DF,CABO TELECOM,1
RN,NOSSA TV - BRASIL,1
RR,SERCOMTEL,1
MT,Brisanet,1
AC,SERCOMTEL,1
PE,,1
BA,Brisanet,1
RJ,Brisanet,1
PA,Brisanet,1
AL,Brisanet,1
PA,CABO TELECOM,1
ES,Brisanet,1
ES,CABO TELECOM,1
